,name,real_x,real_y,R,label_x,label_y
0,20051213_62188_0100_PP.tif,2240,1488,103,1305,788
1,20060530_54242_0100_PP.tif,2240,1488,103,1020,1010
2,20060523_45389_0100_PP.tif,2240,1488,103,1293,785
3,20051020_44400_0100_PP.tif,2240,1488,103,978,776
4,20051116_43710_0400_PP.tif,1440,960,68,628,510
5,20060412_58368_0200_PP.tif,1440,960,68,609,532
6,20060523_48990_0100_PP.tif,2240,1488,103,1068,821
7,20060530_53761_0100_PP.tif,2240,1488,103,1293,773
8,20060529_57030_0100_PP.tif,2240,1488,103,978,776
9,20060411_60533_0200_PP.tif,1440,960,68,825,528
10,20051020_44338_0100_PP.tif,2240,1488,103,975,794
11,20060412_52860_0200_PP.tif,1440,960,68,834,519
12,20060411_59657_0200_PP.tif,1440,960,68,826,508
13,20060412_58171_0200_PP.tif,1440,960,68,822,526
14,20060529_56730_0100_PP.tif,2240,1488,103,1305,791
15,20060412_59423_0200_PP.tif,1440,960,68,828,504
16,20060412_51746_0200_PP.tif,1440,960,68,612,526
17,20051214_50933_0100_PP.tif,2240,1488,103,1299,794
18,20060530_54030_0100_PP.tif,2240,1488,103,1305,773
19,20060412_57974_0200_PP.tif,1440,960,68,828,525
20,20051110_35239_0400_PP.tif,1440,960,68,682,524
21,20051117_37185_0400_PP.tif,1440,960,68,644,506
22,20051021_36208_0100_PP.tif,2240,1488,103,1296,776
23,20060410_44464_0200_PP.tif,1440,960,68,606,522
24,20060412_59735_0200_PP.tif,1440,960,68,831,540
25,20060410_41098_0200_PP.tif,1440,960,68,840,519
26,20060410_40846_0200_PP.tif,1440,960,68,825,517
27,20051214_41358_0100_PP.tif,2240,1488,103,1296,788
28,20051205_60093_0400_PP.tif,2304,1536,109,1169,926
29,20051130_55393_0400_PP.tif,1440,960,68,848,518
30,20051020_62510_0100_PP.tif,2240,1488,103,1317,782
31,20051216_45076_0200_PP.tif,1440,960,68,621,520
32,20051216_46624_0200_PP.tif,1440,960,68,613,526
33,20051110_35332_0400_PP.tif,1440,960,68,636,508
34,20051205_57704_0400_PP.tif,2304,1536,109,1013,824
35,20051130_55004_0400_PP.tif,1440,960,68,630,514
36,20051213_61951_0100_PP.tif,2240,1488,103,1314,785
37,20051117_37051_0400_PP.tif,1440,960,68,746,602
38,20060411_60347_0200_PP.tif,1440,960,68,600,522
39,20051205_59617_0400_PP.tif,2304,1536,109,1037,812
40,20051020_53997_0100_PP.tif,2240,1488,103,1308,776
41,20051205_58037_0400_PP.tif,2304,1536,109,1169,944
42,20051214_40456_0100_PP.tif,2240,1488,103,1299,791
43,20051213_61802_0100_PP.tif,2240,1488,103,1314,785
44,20051202_55484_0400_PP.tif,1440,960,68,850,504
45,20060523_50234_0100_PP.tif,2240,1488,103,1131,749
46,20051021_51476_0100_PP.tif,2240,1488,103,1305,788
47,20051021_36476_0100_PP.tif,2240,1488,103,1290,785
48,20051020_57761_0100_PP.tif,2240,1488,103,975,800
49,20051116_43785_0400_PP.tif,1440,960,68,640,500
50,20051216_44066_0200_PP.tif,1440,960,68,621,525
51,20051110_35279_0400_PP.tif,1440,960,68,860,502
52,20051130_55124_0400_PP.tif,1440,960,68,850,496
53,20051116_44126_0400_PP.tif,1440,960,68,654,504
54,20051021_52127_0100_PP.tif,2240,1488,103,1323,779
55,20051214_57404_0100_PP.tif,2240,1488,103,1302,788
56,20051130_59793_0400_PP.tif,2304,1536,109,1025,830
57,20060522_45777_0100_PP.tif,2240,1488,103,978,791
58,20060407_45379_0200_PP.tif,1440,960,68,822,517
59,20051216_45595_0200_PP.tif,1440,960,68,618,526
60,20051205_58080_0400_PP.tif,2304,1536,109,971,797
61,20051205_35408_0400_PP.tif,1440,960,68,850,508
62,20051021_57975_0100_PP.tif,2240,1488,103,969,800
63,20060411_61979_0200_PP.tif,1440,960,68,831,522
64,20051020_63829_0100_PP.tif,2240,1488,103,1296,776
65,20051205_59510_0400_PP.tif,2304,1536,109,1019,815
66,20051130_54616_0400_PP.tif,1440,960,68,842,506
67,20051205_58060_0400_PP.tif,2304,1536,109,1223,779
68,20060523_45316_0100_PP.tif,2240,1488,103,1287,785
69,20051116_44648_0400_PP.tif,2304,1536,109,1325,815
70,20060412_61450_0200_PP.tif,1440,960,68,838,529
71,20051020_57622_0100_PP.tif,2240,1488,103,1314,833
72,20060412_52020_0200_PP.tif,1440,960,68,612,517
73,20060410_39047_0200_PP.tif,1440,960,68,616,537
